"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Julie Roth (Astier);;Quel frayage, pour la psychanalyse, dans le traitement des psychoses ?;Christian Hoffmann;Hoffmann Christian;;Poitiers;026403765;Psychanalyse;enCours;15-11-2006;;;s18082;non;26-09-2011;22-01-2015;
Ayman Adam hassan saad-elnour;;La lutte anticapitaliste chez zola;Christian Petr;Petr Christian;027068927;Avignon;026369044;Litteratures francaise et francophone;enCours;08-10-2009;13-12-2012;;s20180;non;26-09-2011;27-03-2013;
Youssef Aschi;;L'atheisme de personne de culture musulmane en contexte europeen;Dominique Avon;Avon Dominique;05575855X;Le Mans;026404435;Histoire moderne et contemporaine;enCours;14-01-2011;;;s20221;non;26-09-2011;04-04-2016;
Jean-alain Ngapout mountapmbeme;;L'analyse complexe de la metaphore dans le dialogue des cultures francaise et russe;Maryse Dennes;Dennes Maryse;;Bordeaux 3;027548392;Etudes slaves;enCours;01-09-2003;29-08-2013;;s13631;non;26-09-2011;03-09-2013;
Amal Aribi;;La capactite d'absorption des connaissances : role des pratiques RH;Hadj Nekka;Nekka Hadj;12011884X;Angers;026402920;Sciences de gestion;enCours;18-12-2008;20-12-2012;;s19280;non;26-09-2011;04-02-2013;
Mouzayan Alkatib;;L'infraction de corruption d'agent public, une etude de droit penal compare franco-syrien;Frederic Stasiak;Stasiak Frederic;066762340;Universite de Lorraine;157040569;Droit penal et sciences criminelles;enCours;15-10-2009;;;s19308;non;26-09-2011;05-04-2016;
Birgul Ozkok (Arslan);;Who Gets the Lion's Share? The antecedents and Consequences of Asymmetric Outcomes in Strategic Alliances : une perspective de la theorie de l'agence;Pierre Dussauge;Dussauge Pierre;028618335;Jouy-en Josas, HEC;027321118;Sciences de gestion;enCours;24-11-2009;22-10-2012;;s19350;non;26-09-2011;21-11-2012;
Asma Alouane;;Le droit international prive a l'epreuve du droit au respect de la vie privee et familiale;Lena Gannage;Gannage Lena;066992036;Paris 2;026403145;Droit international;enCours;27-11-2009;;;s19365;non;26-09-2011;04-04-2016;
Pelin Didier (Anil);;Impacts economiques de la reorganisation de l'offre de soins pour personnes agees la prestation des soins a domicile constitue-t-elle une alternative economique complementaire au service des etablissements d'hebergement pour personnes agees des lors que la personne agee presente peu de signes de dependance ou qu'elle est entouree par sa famille ?;Agnes Gramain;Gramain Agnes;074344331;Universite de Lorraine;157040569;Sciences economiques;enCours;05-01-2010;;;s19745;non;26-09-2011;05-04-2016;
Ramadan imhemed Alkharraz;;L'acquisition de certains actes rituels chez les apprenants libyens d'apres l'approche interculturelle.;Guy Achard-Bayle;Achard-Bayle Guy;084701579;Universite de Lorraine;157040569;Sciences du langage;enCours;07-10-2009;;;s19747;non;26-09-2011;04-04-2016;
Amoun Ahmed mohamed;;La religion du salarie : approche comparative (afrique- europe-amerique);Alain Pousson;Pousson Alain;030219795;Toulouse 1;026404354;Droit international;enCours;25-10-2010;;;s19757;non;26-09-2011;22-01-2015;
Omer Arinc;;Securite et frontieres : le cas de la turquie. aspects historiques et situation actuelle;Andre Cabanis,Francois Dieu;Cabanis Andre,Dieu Francois;,;Toulouse 1;026404354;Science politique;enCours;27-10-2010;;;s19759;non;26-09-2011;22-01-2015;
Christian Abes;;Kinetexte : du texte mouvant du scenario a l'ecriture des scenaristes-cineastes;Paul Carmignani;Carmignani Paul;032154305;Perpignan;026403692;Etudes cinematographiques et audiovisuelles;enCours;02-11-2010;29-10-2013;;s19763;non;26-09-2011;12-04-2016;
Nancy Abi Karam;;Le commerce electronique a l'epreuve du droit international prive;Dominique Bureau;Bureau Dominique;073311863;Paris 2;026403145;Droit international;enCours;25-11-2010;;;s19803;non;26-09-2011;04-04-2016;
Evangelia Alexiou;;Recherches sur la constitutionnalisation du droit international;Gerard Cahin;Cahin Gerard;060289376;Paris 2;026403145;Droit international;enCours;01-12-2010;;;s19819;non;26-09-2011;04-04-2016;
Aquiles Vasconcelos simoes;;La reforme agraire en Amazonie bresilienne : innovation et apprentissage social.;Jean-Francois Bare;Bare Jean-Francois;033986096;Toulouse 2;026403994;Etudes rurales;enCours;01-10-2003;16-02-2007;;s15023;non;26-09-2011;04-04-2016;
Mohamed ayech Ben elghali;;Agriculture- qualite de l'eau. analyse des changements de pratiques phytosanitaires par une modelisation bio-economique.;Charilaos Kephaliacos;Kephaliacos Charilaos;032609159;Toulouse 1;026404354;Sciences economiques;enCours;08-11-2007;;;s24682;non;26-09-2011;22-01-2015;
Monica Mallowan (Barbulescu);;Intelligence de l'information : culture et pratiques emergentes dans un environnement informationne complexe;Christian Marcon;Marcon Christian;;Poitiers;026403765;Sciences de gestion;enCours;01-09-2008;21-06-2012;;s24683;non;26-09-2011;03-10-2013;
Francoise Crasnier (Bertho);;L'approche centree sur la personne en situation de handicap mental;Benoit Fromage;Fromage Benoit;092991114;Angers;026402920;Psychologie;enCours;20-11-2009;12-12-2012;;s24765;non;26-09-2011;12-02-2013;
Michel Bernadet;;Geopolitique et geostrategie maritime en asie du sud-est: le detroit de malacca un espace majeur de la mondialisation.;Michel Louis Martin;Martin Michel Louis;027013308;Toulouse 1;026404354;Science politique;enCours;25-11-2010;;;s25112;non;26-09-2011;04-04-2016;
Anis Bellasfar;;La gouvernance et la certification des etablissements de sante.;Ali Ait Abdelmalek,Anne-Marie Begue-Simon;Ait Abdelmalek Ali,Begue-Simon Anne-Marie;03370791X,028807863;Rennes 2;054447658;Sociologie;enCours;14-11-2010;;;s25128;non;26-09-2011;05-04-2016;
Carlos Carcelen reluz;;Variabilite climatique au perou central (xviii eme siecle). implications culturelles et sociales a lima et ses environs.;Jean-Marie Miossec,Juan Marchena fernandez;Miossec Jean-Marie,Marchena fernandez Juan;060596511,;Montpellier 3;026404702;Geographie;enCours;20-03-2006;;;s26888;non;26-09-2011;04-04-2016;
Celine Rahali (Breton);;Le secret professionnel et laction medico-sociale;Bruno Py;Py Bruno;035115432;Universite de Lorraine;157040569;Droit prive et sciences criminelles;enCours;30-04-2009;20-12-2014;;s23792;non;26-09-2011;16-06-2015;
Dora Bereti;;La sociologie de l'art hongroise, ses methodes et ses enjeux philosophiques. la pensee de arnold hauser;Jean-Marc Leveratto;Leveratto Jean-Marc;052632695;Universite de Lorraine;157040569;Sociologie;enCours;12-01-2009;;;s23816;non;26-09-2011;04-04-2016;
Soizick Berthelot;;Des criteres de confort pour les produits innovants : apport de l'ergonomie a la methodologie de conception et d'evaluation;Joseph Maurice Christian Bastien;Bastien Joseph Maurice Christian;081870140;Universite de Lorraine;157040569;Ergonomie;enCours;01-04-2009;;;s23818;non;26-09-2011;05-04-2016;
Alexandra Bron;;Identite et reconnaissance;Hubert Faes,Philippe Soual;Faes Hubert,Soual Philippe;08569455X,;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;15-06-2009;;;s23849;non;26-09-2011;23-02-2012;
Mustapha Bencherif;;Crimes internationaux, responsabilite et droit des victimes aux reparations : cas de la guerre du rif (1921/1926);Alban Maba;Maba Alban;097390364;Perpignan;026403692;Histoire du droit et des institutions;enCours;24-06-2009;26-09-2011;;s23858;non;26-09-2011;19-02-2013;
Jeanne Bernard-Andrade;;Un rien passionne. Stanislas Breton a l'oeuvre;Emmanuel Falque;Falque Emmanuel;050707884;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;15-06-2009;25-11-2011;;s23869;non;26-09-2011;17-04-2012;
Francoise Bertrand;;Communication territoriale : de l'age de la communication institutionnelle a l'ere du marketing territorial.;Roger Delbarre;Delbarre Roger;073663107;Universite de Lorraine;157040569;Sciences de l'information et de la communication;enCours;06-01-2010;;;s24240;non;26-09-2011;28-06-2013;
Gerbert Bouyssou;;Les tyrans hellenistiques.;Catherine Grandjean;Grandjean Catherine;079150772;Tours;026404478;Histoire ancienne;enCours;29-01-2010;05-12-2014;;s24276;non;26-09-2011;19-05-2015;
Florent Coste;;Gouverner par les livres. Les legendes dorees de Jacques de Voragine, de la compilation a l'action pastorale (France-Italie, XIIIe- XVe siecle);Jean marie Fritz;Fritz Jean marie;;Dijon;02819005X;Lettres modernes;enCours;;07-12-2013;fr;s26453;non;26-09-2011;12-12-2013;
Roland Curnier;;Les ames baou de pe et de nekhen : de la puissance divine au pouvoir politique.;Bernard Mathieu;Mathieu Bernard;;Montpellier 3;026404702;Egyptologie;enCours;06-10-2006;;;s26455;non;26-09-2011;22-01-2015;
Caroline Chauveau;;Morphogenese des poles d'habitat en Poitou Occidental (Xeme-XIIIeme siecles) : centralite, organisation du territoire et peuplement;Stephane Boissellier;Boissellier Stephane;077263723;Poitiers;026403765;Histoire;enCours;01-02-2006;;;s26466;non;26-09-2011;05-04-2016;
Ana catarina Cardoso firmo;;Du mot a la scene et du mot en scene. Dramaturgies de l'absurde en France et au Portugal;Maria helena Aranjo carreira;Aranjo carreira Maria helena;;Paris 8;026403552;Etudes portugaises et de l'afrique lusophone;enCours;01-11-2005;24-10-2011;;s26481;non;26-09-2011;02-04-2012;
Laetitia Cornee;;La renaissance italienne dans la collection d'estampes de francois-xavier fabre.;Michele-Caroline Heck;Heck Michele-Caroline;061081019;Montpellier 3;026404702;Histoire de l'art;enCours;28-11-2006;;;s26547;non;26-09-2011;05-04-2016;
Maryline Mathoul (Chevalier);;Vers une resolution de conflits entre eleves : analyse interactionnelle d'une situation de mediation au college;Veronique Traverso;Traverso Veronique;034476059;Lyon 2;02640334X;Sciences du langage;enCours;19-11-2006;03-07-2012;;s26892;non;26-09-2011;04-04-2016;
Maria Corti;;Identite, memoire et devotion dans les livres d'heures de l'entourage familial de Catherine de Cleves. XIVe-XVe siecle;Martin Aurell,Anne-Marie Legare;Aurell Martin,Legare Anne-Marie;028813839,;Poitiers;026403765;Histoire medievale;enCours;30-03-2007;;;s26903;non;26-09-2011;26-01-2012;
Camilla Cuomo;;Statut de la representation dans la culture musulmane;Cherif Ferjani;Ferjani Cherif;;Lyon 2;02640334X;Etudes arabes et islamiques;enCours;25-05-2007;25-03-2011;;s26965;non;26-09-2011;30-03-2016;
Norma constanza Caballero guzmax;;La codification fiscale en droit compare;Jean-claude Martinez;Martinez Jean-claude;;Paris 2;026403145;Droit public;enCours;15-01-2007;28-10-2010;;s26968;non;26-09-2011;13-06-2012;
Cecile Charpentier;;Madame de duras a l'epreuve de ses contemporaines.;Nicole Masson;Masson Nicole;030510708;Poitiers;026403765;Litteratures francaise et francophone;enCours;21-06-2007;;;s26978;non;26-09-2011;26-01-2012;
Therese Colomes (Cordoba);;Etudes sur l'oeuvre poetique de manuel jose castilla;Nestor Ponce;Ponce Nestor;;Rennes 2;054447658;Etudes hispano-americaines;enCours;01-09-2005;;;s26993;non;26-09-2011;22-01-2015;
Noel Ciabrini;;Territoires ruraux et nouvelles dynamiques de developpement.;Marie-Antoinette Maupertuis;Maupertuis Marie-Antoinette;084589132;Corte;029473284;Sciences economiques;enCours;15-01-2007;;;s26996;non;26-09-2011;05-04-2016;
Guillaume Cotinat;;Moulins et meuniers aux confins du berry et du poitou, de la fin du moyen age jusqu'au xxeme siecle;Frederic Chauvaud;Chauvaud Frederic;03146758X;Poitiers;026403765;Histoire;enCours;01-11-2004;;;s26017;non;26-09-2011;04-04-2016;
P.christophe Cathelineau;;Gaetan gatian de clerambault ou l'invention de la clinique.;Christian Hoffmann;Hoffmann Christian;;Poitiers;026403765;Psychologie;enCours;01-11-2005;;;s26019;non;26-09-2011;22-01-2015;
Thomas Chaffanel;;Notaires et activites notariales dans les campagnes du rhone au xix siecle (1803-1914).;Jean-Luc Mayaud;Mayaud Jean-Luc;027019799;Lyon 2;02640334X;Histoire;enCours;01-01-2005;13-02-2012;;s26025;non;26-09-2011;30-03-2016;
Christian Cannuyer;;Le don de la girafe. le verbe egyptien ancien sr (wb. iv, 189, 15-190, 7). etude de lexicographie semitique et afroasiatique.;Didier Devauchelle;Devauchelle Didier;026829207;Lille 3;026404524;Egyptologie;enCours;01-11-2003;24-11-2007;;s26032;non;26-09-2011;03-04-2016;
Gilles Chatenay;;Le symptome : signe et fonction.;Jean-Claude Maleval;Maleval Jean-Claude;027003965;Rennes 2;054447658;Psychologie;enCours;01-10-2005;;;s26077;non;26-09-2011;04-04-2016;
Guillaume Chenebon;;Index raisonne des seminaires publies de jacques lacan.;Bernard Salignon;Salignon Bernard;032278632;Montpellier 3;026404702;Psychologie;enCours;01-10-2005;;;s26079;non;26-09-2011;22-01-2015;
Olivia Cardoner;;Index des concepts de j. lacan dans les seminaires edites tome i : les nevroses.;Bernard Salignon;Salignon Bernard;032278632;Montpellier 3;026404702;Psychologie;enCours;01-11-2005;;;s26080;non;26-09-2011;22-01-2015;
Valerie Capliez;;Constribution du modele de rasch dans la construction d'une echelle diagnostique pour enfants autistes high functioning et enfant asperger.;Rene Pry;Pry Rene;059821183;Montpellier 3;026404702;Psychologie;enCours;01-12-2005;;;s26081;non;26-09-2011;04-04-2016;
Peggy Bette;;Identites collectives et parcours sociaux et professionnels de 'veuves' francaises de la grande guerre au xx eme siecle : un essai d'histoire sociale.;Sylvie Schweitzer;Schweitzer Sylvie;030399300;Lyon 2;02640334X;Histoire;enCours;01-02-2005;04-05-2012;;s21189;non;26-09-2011;30-03-2016;
Fatah Boudjemaa;;Les aides a la creation d'entreprise et leur impact sur la survie et le developpement des nouvelles entreprises.;Jean Bonnet;Bonnet Jean;;Lorient;05017746X;Sciences economiques;enCours;01-11-2005;;;s21226;non;26-09-2011;22-01-2015;
Celine Fernandez;;Etude intertextuelle du roman de jaufre.;Gerard Gouiran;Gouiran Gerard;029052459;Montpellier 3;026404702;Etudes occitanes;enCours;01-11-2004;;;s33946;non;26-09-2011;05-04-2016;
Shadi Fathy younesi;;40 ans d'exploitation de la musique et de la danse en poitou.;Jean Gribenski;Gribenski Jean;029423945;Poitiers;026403765;Musique et musicologie;enCours;01-11-2004;;;s33952;non;26-09-2011;22-01-2015;
Jean-baptiste Faivre;;Comment suis-je donne a moi-meme?;Jean Greisch;Greisch Jean;026902389;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-12-2004;;;s33975;non;26-09-2011;22-01-2015;
Laure Filippi;;De la personne au sujet. histoire d'une idee romaine.;Olivier Jehasse;Jehasse Olivier;028608631;Corte;029473284;Histoire;enCours;01-11-2004;;;s34025;non;26-09-2011;22-01-2015;
Jose Fuentes;;La geostrategie de la chine depuis le 11 septembre 2001.;Jean-Charles Jauffret;Jauffret Jean-Charles;026936135;Montpellier 3;026404702;Histoire des relations internationales;enCours;01-11-2004;;;s34032;non;26-09-2011;04-04-2016;
Mouloud Chergui;;La modernisation de l'institution des douanes algeriennes : un enjeu strategique pour la securite nationale;Francois Dieu;Dieu Francois;;Toulouse 1;026404354;Science politique;enCours;01-10-2008;;;s27580;non;26-09-2011;22-01-2015;
Aya Carvallo;;L'action humanitaire en cas de catastrophes . Droit applicable et limites;Philippe Lagrange;Lagrange Philippe;;Poitiers;026403765;Droit public;enCours;01-10-2008;;;s27633;non;26-09-2011;04-05-2012;
Marie-charlotte Cazalas;;Le pouvoir de commandement posthume.;Marc Nicod;Nicod Marc;058652345;Toulouse 1;026404354;Droit prive;enCours;01-10-2008;;;s27637;non;26-09-2011;22-01-2015;
Vivien Cosculluela;;Traduction et politique en Tchecoslovaquie entre 1948 et 1989. L'exemple de la poesie francaise en slovaque;Isabelle Poulin,Katarina Bednarova;Poulin Isabelle,Bednarova Katarina;,;Bordeaux 3;027548392;Litteratures francaise, francophones et comparee;enCours;05-09-2008;11-07-2014;;s27639;non;26-09-2011;04-09-2014;
Fadi Bessada;;Analyse integrale des fonctions musicales et religieuses du cormophone dans l'antiquite egyptienne.;Jean-claude Grenier;Grenier Jean-claude;;Montpellier 3;026404702;Histoire de l'art;enCours;01-11-2004;;;s20756;non;26-09-2011;22-01-2015;
Alex Bouvigne;;Les arts plastiques a montpellier durant la premiere moitie du xx siecle.;Jean-Francois Pinchon;Pinchon Jean-Francois;028746090;Montpellier 3;026404702;Histoire de l'art;enCours;01-11-2004;;;s20757;non;26-09-2011;05-04-2016;
Abderrazzak Boukraa;;Influence de l'approche interculturelle sur la prediction de la performance en eps des eleves primo-arrivants a partir du modele expection - valeur d'eccles.;Charles Roncin;Roncin Charles;028743075;Rennes 2;054447658;Sciences du sport (staps);enCours;01-10-2005;;;s20764;non;26-09-2011;22-01-2015;
Mohamed Boukdir;;Les dispositifs d'apprentissage a distance : un outil organisationnel ?;Yves Chevalier;Chevalier Yves;;Rennes 2;054447658;Sciences de l'information et de la communication;enCours;01-10-2005;;;s20765;non;26-09-2011;22-01-2015;
Omar Ben ounis;;Modifications endocriniennes et metaboliques de type 2 apres reentrainement a l'effort.;Paul Delamarche;Delamarche Paul;;Rennes 2;054447658;Sciences du sport (staps);enCours;01-10-2005;;;s20768;non;26-09-2011;22-01-2015;
Celia Bernadini;;Les specificites du droit public hospitalier.;Christian Vallar;Vallar Christian;031208584;Corte;029473284;Droit public;enCours;01-10-2005;;;s20773;non;26-09-2011;22-01-2015;
Bertrand p.c. Bassene;;Memoires de l'esclavage et de la traite negriere en Senegambie (Senegal/Gambie), 1965 - 2007. Dialectique de la diversite memorielle.;Olivier Petre-Grenouilleau,Paul Lovejoy;Petre-Grenouilleau Olivier,Lovejoy Paul;034420533,;Lorient;05017746X;Histoire;enCours;01-01-2006;11-12-2010;;s20799;non;26-09-2011;09-03-2015;
Bassima Hassan (Kilani);;La diffamation : delit de presse et liberte d'expression. Etude comparee en droit francais, syrien et egyptien.;Sylvie Grunvald;Grunvald Sylvie;076594637;Nantes;026403447;Droit prive;enCours;01-01-2008;07-01-2016;;s23034;non;26-09-2011;21-01-2016;
Pierre Brasquies;;L'action en contrefacon d'oeuvres des arts appliques;Marie-Christine Piatti;Piatti Marie-Christine;059336986;Lyon 2;02640334X;Droit prive;enCours;05-11-2008;17-10-2014;;s23058;non;26-09-2011;05-04-2016;
Matthieu Casteran;;Vieillissement, controle modulaire de l'equilibre et des mouvements orientes;Patrick Manckoundia,Elizabeth Thomas;Manckoundia Patrick,Thomas Elizabeth;,;Dijon;02819005X;Staps;enCours;;25-11-2013;fr;s28828;non;26-09-2011;12-12-2013;
Yasna Contreras;;Les changements socio-spatiaux dans le centre de Santiago du Chili : formes d'ancrage et pratiques urbaines des nouveaux habitants;Francoise Dureau,Carlos Mattos;Dureau Francoise,Mattos Carlos;029281237,;Poitiers;026403765;Geographie;enCours;04-01-2010;19-03-2012;;s28887;non;26-09-2011;05-04-2016;
Pauline Colonna d'istria;;Conflit et creation democratique;Patrick Savidan;Savidan Patrick;03215741X;Poitiers;026403765;Philosophie politique et juridique;enCours;01-10-2008;;;s28893;non;26-09-2011;19-01-2012;
Toufic Braidy;;Les garanties du credit bancaire : etude comparative droit francais, droit libanais et droit des pays arabes;Georges Khairallah;Khairallah Georges;060563834;Paris 2;026403145;Droit compare;enCours;08-02-2007;;;s22092;non;26-09-2011;04-04-2016;
Rachid Barniat;;L'avenir des marches et places financieres europeennes;Alain Buzelay;Buzelay Alain;026760614;Universite de Lorraine;157040569;Sciences economiques;enCours;01-09-2006;;;s22115;non;26-09-2011;28-06-2013;
Arnaud Boudou;;Diyarbakir, des mutations de l'espace public. une ville comme palimpseste? entre mouvances et mouvements;Michel Poinard;Poinard Michel;072315342;Poitiers;026403765;Geographie;enCours;19-06-2007;;;s22119;non;26-09-2011;22-01-2015;
Marie madeleine Bonifaci;;Memoire et oubli dans les romans arthuriens.;Jean-jacques Vincensini;Vincensini Jean-jacques;;Corte;029473284;Litterature medievale;enCours;15-02-2006;;;s22131;non;26-09-2011;22-01-2015;
Mohamed Boukharouba;;Management des competences chez les investisseurs etrangers en algerie.;Jean-Marie Peretti;Peretti Jean-Marie;027064867;Corte;029473284;Sciences de gestion;enCours;16-05-2006;;;s22135;non;26-09-2011;04-04-2016;
Frederic Beaumont;;La reforme du lmd : vers un modele europeen de l'enseignement superieur de gestion.;Jean-Marie Peretti;Peretti Jean-Marie;027064867;Corte;029473284;Sciences de gestion;enCours;02-05-2007;;;s22146;non;26-09-2011;04-04-2016;
Fabiane Schnorr (Basso);;Conscience Phonologique et Activite d'enseignement/apprentissage : comment les differentes pratiques didactiques-pedagogiques influencent-elles l'appropriation de la lecture-ecriture ?;Christine Barre-de Miniac;Barre-de Miniac Christine;028291743;Grenoble;030327202;Sciences du langage - linguistique;enCours;20-09-2007;12-07-2011;;s22174;non;26-09-2011;05-04-2016;
Alia Besbes;;Determinants de lintention de reservation en ligne des produits touristiques : proposition dun modele et validation empirique;Patrick Legoherel;Legoherel Patrick;116048158;Angers;026402920;Sciences de gestion;enCours;02-02-2010;14-06-2013;;s24781;non;26-09-2011;05-04-2016;
Mohamed Ayech Ben El Ghali;;Agriculture et ecologie - analyse bio-economique des pratiques ecologiquement intensives;Francois Colson,Karine Daniel;Colson Francois,Daniel Karine;026795884,059802553;Angers;026402920;Sciences economiques;enCours;01-10-2009;;;s24783;non;26-09-2011;08-10-2012;
Jean Brodeur;;Angers antique - 30 annees de recherche (1944-2009);Philippe Blaudeau;Blaudeau Philippe;079649165;Angers;026402920;Histoire;enCours;01-10-2009;;;s24792;non;26-09-2011;04-04-2016;
Camille Barilly-baybay;;Etude et mise en perspective des romans du washington park de james t farrell;Lauric Guillaud;Guillaud Lauric;031935842;Angers;026402920;Litteratures francaise et francophone;enCours;01-10-2009;;;s24799;non;26-09-2011;22-01-2015;
Pierre-edouard Biache;;Les notaires dans la tourmente de vichy : contribution a l'etude du notariat de france de 1940 a 1944 (titre provisoire);Antoine Astaing;Astaing Antoine;050774190;Universite de Lorraine;157040569;Histoire du droit et des institutions;enCours;30-09-2010;;;s24819;non;26-09-2011;28-06-2013;
Karine Bernard;;Le role du juge penal dans la regulation du marche boursier.;Corinne Mascala;Mascala Corinne;034342389;Toulouse 1;026404354;Droit prive;enCours;27-10-2010;;;s24858;non;26-09-2011;22-01-2015;
Danielle Ferre;;Approche orientante et education a l'orientation. etude comparative des modeles theoriques qui sous-tendent ces approches et des pratiques d'acteurs dans des etablissements scolaires quebecois et francais.;Richard Etienne;Etienne Richard;;Montpellier 3;026404702;Sciences de l'education;enCours;01-09-2005;;;s34055;non;26-09-2011;22-01-2015;
Nadege Foudon;;Acquisition du langage par les enfants autistes.;Anne Reboul;Reboul Anne;02931822X;Lyon 2;02640334X;Sciences cognitives;enCours;01-11-2005;10-12-2008;;s34096;non;26-09-2011;30-03-2016;
Anne Faure;;Le journal de virginia woolf ou l'ecriture comme experimentation.;Christine Reynier-girardin;Reynier-girardin Christine;;Montpellier 3;026404702;Etudes anglophones;enCours;01-10-2005;;;s34108;non;26-09-2011;22-01-2015;
Sophie Fouquet;;Sentiment et intentionnalite dans l'ethique materiale de max scheler.;Jerome Pore;Pore Jerome;;Rennes 1;02778715X;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2005;;;s34124;non;26-09-2011;22-01-2015;
Charlotte Ficat;;Appropriation des oeuvres de l'esprit et droit des biens.;Arnaud Raynouard;Raynouard Arnaud;078666392;Toulouse 1;026404354;Droit public;enCours;01-11-2005;;;s34155;non;26-09-2011;22-01-2015;
Myungsun Baek;;La prescription acquisitive : comparaison du droit francais et du droit coreen;Laurent Leveneur;Leveneur Laurent;030073774;Paris 2;026403145;Droit prive;enCours;22-07-2009;;;s23892;non;26-09-2011;16-12-2011;
Francine Reith (Bronner);;Edition critique de la correspondance Paul Claudel - Jean Charlot (1929-1954). Manuscrits inedits;Luc Fraisse;Fraisse Luc;;Mulhouse;026403250;Litteratures et civilisations comparees;enCours;01-02-2009;02-02-2015;;s23893;non;26-09-2011;31-08-2015;
Sana Belhoul;;Les determinants de la fusion-acquisition sur la performance financiere de la firme : un modele integratif de la theorie co de transaction et la theorie des ressources et competences;Hadj Nekka;Nekka Hadj;12011884X;Angers;026402920;Sciences de gestion;enCours;04-12-2008;;;s23894;non;26-09-2011;22-01-2015;
Bochra Charnay (Ben Hassen);;Reecritures contiques : de l'intertextualite a l'interculturalite;Francis Marcoin;Marcoin Francis;028270711;Artois;034634894;Etudes litteraires francaises;enCours;17-12-2008;14-12-2013;;s23918;non;26-09-2011;06-02-2014;
Gerardo Bello casique;;Etude sur les prix de transfert.;Francis Querol;Querol Francis;031518451;Toulouse 1;026404354;Droit public;enCours;01-10-2009;;;s23940;non;26-09-2011;22-01-2015;
Hela Ben amara;;Le role du consommateur dans l'evolution du droit de la concurrence : perspectives europeenes et tunisienne;Sylvaine Poillot-Peruzzetto;Poillot-Peruzzetto Sylvaine;02947972X;Toulouse 1;026404354;Droit prive;enCours;01-10-2009;;;s23941;non;26-09-2011;04-04-2016;
Claire Bickert;;La place des ecrits dans la production des femmes artistes de 1970 a nos jours;Evelyne Toussaint;Toussaint Evelyne;;Pau;026403668;Histoire de l'art;enCours;30-10-2009;;;s23965;non;26-09-2011;22-01-2015;
Alexis Briat;;Les influences des organisations internationales et regionales sur le systeme penitentiaire des etats;Batyah Sierpinski,Yves Petit;Sierpinski Batyah,Petit Yves;143466283,;Universite de Lorraine;157040569;Droit public;enCours;13-01-2010;;;s24345;non;26-09-2011;28-06-2013;
Laury Bacro;;La gestion de la diversite en france et au quebec : deux modes de declinaison d'une meme problematique;Patrick Savidan;Savidan Patrick;03215741X;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;15-10-2008;;;s24352;non;26-09-2011;22-01-2015;
Bruno Berthet;;Lieux de memoire communs dans l'atlantique nord francais de l'identite a la mise en valeur du patrimoine;Andre Magord;Magord Andre;;Poitiers;026403765;Etudes anglophones;enCours;15-12-2009;;;s24395;non;26-09-2011;26-01-2012;
Emmanuel Charles;;Elections et consolidation democraitque en haiti.;Michel Louis Martin;Martin Michel Louis;027013308;Toulouse 1;026404354;Science politique;enCours;06-11-2006;;;s26583;non;26-09-2011;04-04-2016;
Mathieu Cassotti;;Developpement du jugement sur l'incertitude et prise de decision : l'impact des emotions et du controle executif sur la resistance aux erreurs de raisonnement.;Sylvain Moutier;Moutier Sylvain;076590941;Paris 5;026404788;Psychologie;enCours;07-11-2006;07-12-2009;;s26601;non;26-09-2011;02-07-2012;
Marie-caroline Cheminot;;Les enfants du divorces en france des annees 1930 a 1975;Christine Bard;Bard Christine;03021968X;Angers;026402920;Histoire;enCours;01-12-2006;;;s26642;non;26-09-2011;22-01-2015;
Gaelle Bomo;;La restauration des peintures dans les musees de province de 1801 a 1914;Marianne Grivel;Grivel Marianne;028297695;Rennes 2;054447658;Histoire de l'art;enCours;01-10-2005;;;s21286;non;26-09-2011;22-01-2015;
Bertrand De hauteclocque;;Apports de la science economique au secteur du spatial en europe;Patrick Cohendet;Cohendet Patrick;028299264;Strasbourg;131056549;Sciences economiques;enCours;15-12-2006;23-04-2012;;s30589;non;26-09-2011;25-07-2012;
Edouard Dubois;;Les agences de conseil de vote - Etude de droit compare;Michel Germain;Germain Michel;030044456;Paris 2;026403145;Droit international;enCours;02-11-2006;;;s30598;non;26-09-2011;17-02-2015;
Jean-louis Dellas;;Pour un inventaire de la metapsychologie freudienne a partir de l'epistemologie et de la clinique;Alain Ducousso-Lacaze;Ducousso-Lacaze Alain;094329494;Poitiers;026403765;Psychologie;enCours;01-06-2007;19-01-2012;;s30601;non;26-09-2011;05-04-2016;
Sandrine Delayen;;La transmission des oeuvres d'art;Marie Cornu;Cornu Marie;;Poitiers;026403765;Droit prive;enCours;09-10-2006;;;s30604;non;26-09-2011;03-05-2012;
